t	h
0.1	0.376211818
0.2	0.20545411
0.3	1.162128704
0.4	0.794531343
0.5	1.519713108
0.6	0.728456923
0.7	1.994816473
0.8	3.310719999
0.9	3.018572307
1	7.207131143
1.1	5.432667108
1.2	8.717089381
1.3	6.968405523
1.4	9.883241503
1.5	7.930870088
1.6	12.31415099
1.7	15.14110223
1.8	16.36993179
1.9	16.28057447
2	19.97865814
2.1	18.68229905
2.2	25.10701341
2.3	25.48396297
2.4	29.36881347
2.5	28.77906154
2.6	33.59996566
2.7	35.98085446
2.8	36.7965711
2.9	44.11088048
3	43.55411937
3.1	49.20009967
3.2	54.14386335
3.3	52.39154406
3.4	57.45629344
3.5	60.32246263
3.6	61.51511185
3.7	67.2138209
3.8	71.11288336
3.9	78.5246582
4	77.87725347
4.1	79.8620971
4.2	87.81384167
4.3	91.39431234
4.4	96.16282231
4.5	99.58952563
4.6	105.004413
4.7	112.0041316
4.8	113.1976854
4.9	115.7028168
5	120.8092965
5.1	126.9697951
5.2	134.6058476
5.3	139.7627335
5.4	140.5221954
5.5	147.2590774
5.6	153.4077596
5.7	161.7791819
5.8	166.5275911
5.9	170.8113529
6	178.8351071
6.1	181.8257717
6.2	191.1823128
6.3	194.2223951
6.4	201.441651
6.5	204.7611717
6.6	213.9620761
6.7	219.1024835
6.8	224.725996
6.9	234.2294985
7	238.9374938
7.1	246.0240169
7.2	252.9749479
7.3	264.4961505
7.4	269.783647
7.5	270.8231219
7.6	285.4572249
7.7	288.6122206
7.8	296.9264203
7.9	305.3520547
8	312.8031583
8.1	320.8692975
8.2	333.1591648
8.3	334.7972749
8.4	347.0462108
8.5	353.2307723
8.6	362.5037307
8.7	366.2461989
8.8	383.4941836
8.9	386.4981268
9	396.2558632
9.1	406.5136352
9.2	414.4094765
9.3	423.085772
9.4	437.144518
9.5	441.5366404
9.6	455.0314224
9.7	458.9880255
9.8	470.9670282
9.9	482.5766262
10	488.777247
